	{華中}
䜎	言火火力
䜏	言阝𠂇⺼
䜏	言阝𠂇月
䜐	阝𠂇工言
䜒	言𰃦丿大
䜒	言𰃦米大
䜓	言艹世木
䜔	言𠂇工辶
䜗	言戊一心
䜘	言卝勹夊
䜘	言艹勹夊
䜙	言日幺灬
䜚	言罒水辶
䜛	言⺈口儿
䜜	言⺊冖目
䜝	言幺幺乚
䜞	言亠丷二
䜟	言十戈一
䜠	言斤斤貝
䜡	言丆月夊
䜢	言宀丰心
䜢	言宀龶心
䜥	讠日一廴
䜦	讠艹勹日
䜧	讠刀丶止
䜨	讠口口心
䜩	讠卄一灬
䜪	八人口九
䜫	八人口工
䜬	八人口由
䜭	⺊冖一口
䜮	八人口牛
䜯	八人口米
䜰	八人口十
䜱	八人口又
䜳	一口䒑乚
䜴	一口䒑又
䜵	一口䒑皮
䜶	一口䒑ヰ
䜷	一口䒑又
䜸	一口䒑毛
䜹	一口䒑口
䜺	一口䒑日
䜻	一口䒑龰
䜼	予丿夊䒑
䜽	一口䒑刂
䜾	一口䒑日
䜿	臣𠂉一䒑
䝀	一口䒑田
䝁	火火冖䒑
䝂	臣殳一䒑
䝃	一口䒑灬
䝄	一口䒑又
䝈	豕⺁一㔾
䝉	〢丷冖豕
䝊	豕一彐龰
䝌	豕又又又
䝏	豕口十女
䝐	豕阝𠂇⺼
䝐	豕阝𠂇月
䝒	豕耳又人
䝔	豕卝口隹
䝔	豕艹口隹
䝕	豕耳耳耳
䝜	豸厶儿夊
䝜	豸厶八夊
䝝	豸大丁口
䝟	豸丰刀大
䝠	豸厂白小
䝡	豸卄一入
䝢	豸冂二又
䝢	豸日罒又
䝣	豸氵匚木
䝤	豸大丷小
䝥	豸自二十
䝥	豸自冫十
䝦	豸罒亻人
䝱	力力力貝
䝲	貝尸乀⺀
䝳	⺊夕又貝
䝴	十口冖貝
䝸	貝艹十又
䝹	貝宀夕㔾
䝽	貝厂土土
䝾	一弋止貝
䞀	貝亻ユ矢
䞁	貝匚日女
䞄	方𠂉也貝
䞇	土儿土貝
䞇	土八土貝
䞉	貝丷夫貝
䞊	貝虍八目
䞋	貝立木見
䞛	走丅乚㇆
䞧	走⺁一口
䞫	走彐丿口
䞭	走厶儿夊
䞭	走厶八夊
䞮	走人一木
䞱	走八人口
䞲	走丿扌戈
䞴	走⺆土口
䞵	走又又又
䞶	走日勹𰀪
䞷	走尸屮凵
䞺	走⺁十目
䞻	走マ用力
䞽	走十冖糸
䞿	宀𠀎八走
䟁	走巛日木
䟂	走冂二又
䟂	走日罒又
䟃	走厶厶彡
䟆	走日龷十
䟆	走田龷十
䟇	走幺幺人
䟈	走十戈壬
䟈	走十戈王
䟉	走罒勹虫
䟋	走⺈厂言
䟌	走十戈隹
䟍	走自穴方
䟎	走夫夫貝
䟏	走白幺木
䟐	走厂禾止
䟒	走卝口隹
䟒	走艹口隹
䟲	足七丶儿
䟲	足亠厶儿
䟵	足一水丶
䟶	足人人土
䟻	足人一木
䟼	足一弋止
䟽	足亠厶𫶧
䟾	足又又又
䠁	足厶厶二
䠃	足一巾入
䠄	足冂龷八
䠇	足尸屮凵
䠉	足宀尸コ
䠍	足尸二又
䠏	足癶一大
䠑	足大土土
䠕	足止匕木
䠖	足二欠口
䠖	足冫欠口
䠙	足亠丷方
䠞	足戊上小
䠟	土𢆉九足
䠠	卌一冖足
䠢	卝罒冖足
䠢	艹罒冖足
䠣	足巳巳八
䠤	足口口十
䠥	足丷巾夊
䠦	足矢口日
䠧	足尸耂日
䠨	足⺈厂言
䠩	足止戊𣥂
䠪	足幺幺乚
䠫	足耳又人
䠬	足癶一阝
䠭	足木口貝
䠮	足丷夫馬
䠰	足卝口隹
䠰	足艹口隹
䠱	足尸水虫
䠲	身人一マ
䠲	身人丶マ
䠸	身大一丂
䠼	身人一刂
䠽	身山一䒑
䠿	身口丄貝
䡀	身亠囗一
䡕	車乛水一
䡖	車一八土
䡗	工几丶車
䡜	車土儿土
䡜	車土八土
䡝	車宀夕㔾
䡡	車匕匕白
䡥	車穴人口
䡦	車又又木
䡪	車戶习习
䡪	車户习习
䡫	車夊丰辶
䡬	車冂二又
䡬	車日罒又
䡮	車彳人龰
䡰	士𠃜殳車
䡱	車匚口口
䡲	車口口十
䡵	車䒑𧰨辶
䡶	車尸口辛
䡷	車艹土皿
䡸	車卝罒乚
䡸	車艹罒乚
䡹	車十冖龰
䡺	車丰丰心
䡻	車自穴方
䡼	車雨口口
䡽	車⺧儿貝
䡾	車虍一犬
䡿	車雨口人
䢃	尸口辛乂
䢄	厶口木木
䢆	冖几辰寸
䢇	宀儿辰寸
䢇	宀几辰寸
䢈	辰人一日
䢒	亠八乂辶
䢓	宀一𬺰辶
䢚	一日乂辶
䢛	冂儿口辶
䢛	冂八口辶
䢜	彐冖巾辶
䢢	人一彐辶
䢢	人丶彐辶
䢤	禾木丶辶
䢦	亠幺冫辶
䢧	习习人辶
䢨	彳人人辶
䢩	一𫝀口辶
䢪	夭口冂辶
䢫	阝𠂇工辶
䢬	爫冖夕辶
䢭	⺷冫欠辶
䢭	⺷氵欠辶
䢯	火火夕辶
䢰	习习隹辶
䢱	士罒貝辶
䢲	目目隹辶
䢽	龷八口巴
䣀	⺈厂㔾阝
䣃	𠂉一止阝
䣄	人一木阝
䣆	一巛工阝
䣇	一水丶阝
䣈	口巴口巴
䣉	氵小丿巴
䣏	亻龷八阝
䣐	艹冂大阝
䣒	口丄贝阝
䣓	一口冂阝
䣗	白大十阝
䣙	山月月阝
䣚	口十口阝
䣛	木人水阝
䣝	尸耂日阝
䣞	口口䒑阝
䣟	匚儿匚阝
䣠	夫夫日阝
䣡	⺷丿扌阝
䣢	丰八龷阝
䣤	目目隹阝
䣮	酉𠂇乂丶
䣮	酉𠂇又丶
䣳	酉㇆一口
䣴	酉乂凵儿
䣻	酉人一口
䣻	酉人丶口
䣿	酉一𬺰皿
䤀	酉艹𠂇口
䤂	酉卄二木
䤅	酉人一刂
䤆	酉癶一大
䤇	酉穴人又
䤈	酉八丂皿
䤉	酉心丿皿
䤋	丷酉戈一
䤌	酉人一口
䤌	酉人丶口
䤍	酉卄一入
䤎	酉予丿口
䤐	酉匚儿日
䤑	酉卄二八
䤑	酉龷由八
䤒	酉幺幺人
䤓	酉艹冖豕
䤔	氵車斤酉
䤕	酉白幺木
䤖	酉日龷水
䤗	立早夊酉
䤘	酉人人一
䤙	酉彑𧰨虫
䤣	金丿丷𬺰
䤥	金⺈厂㔾
䤩	金宀丿七
䤫	金山人乛
䤬	金氵小丿
䤭	金乂𠂇巾
䤯	金一廾彡
䤳	金亠亻乀
䤴	金乛水凵
䤷	金匚日女
䤹	金宀火又
䤻	金𠂇工⺼
䤻	金𠂇工月
䤿	金丰刀手
䥀	金屮一虫
䥁	金マ囗𢆉
䥂	金冖一豕
䥄	金厂龷日
䥅	十王王金
䥇	金戶习习
䥇	金户习习
䥈	金艹犬廾
䥉	金宀⺈丶
䥌	宀日日金
䥍	土𢆉九金
䥏	金彳𠂉卩
䥐	予丿夊金
䥒	弓厶虫金
䥒	弓口虫金
䥕	金丷巾夊
䥖	金丷酉大
䥗	金士示欠
䥘	金人人日
䥙	金阝䒑𧰨
䥚	几目目金
䥛	金丰刀糸
䥞	金白方夊
䥟	金扌日乚
䥠	金艹戊口
䥡	金片世木
䥢	壴十又金
䥣	臼工殳金
䥤	金雨勹巳
䥥	金立丿八
䥦	金𠂇工辶
䥨	金門口口
䥪	金日幺灬
䥫	金十戈隹
䥬	金艹甫寸
䥭	一水丶金
䥮	金覀臣卩
䥯	金罒厶匕
䥰	金亡虫虫
䥱	金宀臼灬
䥲	金匚口欠
䥳	金丆月夊
䥵	金日土兀
䥶	金厂禾止
䥷	金⺮目刂
䥸	弓一八金
䥹	金丰刀齒
䥾	钅冖丂一
䥿	钅⺁一勹
䦂	钅戶习习
䦂	钅户习习
䦃	钅艹耂日
䦅	钅⺷䒑口
䦅	钅羊䒑口
䦆	钅目目又
䦋	镸士方夊
䦋	镸龶勹夊
䦛	門⺈彐亅
䦜	門一𫝀口
䦟	門人人土
䦡	門宀尸コ
䦢	門氵土厶
䦤	門又又又
䦪	門日勹乚
䦫	門艹冂大
䦬	門丰刀大
䦰	門⺈日电
䦲	門⺈厂言
䦴	門罒土𢆉
䦵	門一八乂
䦶	门⺈彐亅
䦷	门人人土
䧍	阝八人口
䧑	阝宀一龰
䧓	阝⺆土口
䧔	阝人一心
䧔	阝人丶心
䧕	阝戈口一
䧗	阝𠂉日夊
䧙	阝山人丶
䧛	阝亠丷方
䧜	阝广肀口
䧝	阝屮一虫
䧡	阝广肀月
䧢	阝匚口口
䧤	阝业䒑夫
䧧	阝⺷丿戈
䧨	阝业羊八
䧩	阝丅耳夊
䧩	阝乛耳夊
䧪	阝广大女
䧬	阝宀一貝
䧮	阝宀丰心
䧮	阝宀龶心
䧯	阝⺈口丶
䧰	阝魚丿糸
䨁	予丿夊隹
䨃	日宀女隹
䨄	人一乛隹
䨄	人丶乛隹
䨅	大丷日隹
䨆	丷巾八隹
䨇	隹又隹又
䨈	宀一𣥂隹
䨉	貝貝女隹
䨊	隹隹隹一
䨕	雨氵一𬺰
䨚	雨勹𰀪心
䨟	雨氵土土
䨠	雨日勹乚
䨡	雨乛水凵
䨦	雨亠丷方
䨧	雨立人マ
䨬	雨氵木木
䨭	雨二厶⺼
䨭	雨二厶月
䨮	雨丰丰彐
䨯	雨阝木日
䨱	雨彳𠂉夊
䨲	雨而⺈丶
䨴	雨业⺷寸
䨵	雨氵覀早
䨶	雨厶目片
䨷	雨木木又
䨸	雨阝爫心
䨹	雨亻丨黑
䨺	雨二厶厶
䨻	雨田雨田
䨼	龶月卝又
䨼	龶月艹又
䩁	非毛毛毛
䩂	面人一乛
䩂	面人丶乛
䩊	面宀夕㔾
䩍	面大丷小
䩏	面卝罒丶
䩏	面艹罒丶
䩡	革大人人
䩣	革人一木
䩥	革丿止廴
䩦	亻丨夊革
䩩	革宀夕㔾
䩪	革宀尸コ
䩫	革一巾入
䩭	革大丁口
䩯	革丂口一
䩯	革了口一
䩱	革人一刂
䩲	革广卄又
䩳	革宀火又
䩷	革亠丷方
䩹	革一口丨
䩺	革八厶习
䩼	革夊丰辶
䩽	革匚口口
䩾	革广卄灬
䩿	革十廾貝
䪀	革宀尸心
䪁	革业䒑夫
䪂	革木冂冂
䪄	革卄二八
䪄	革龷由八
䪅	革罒勹虫
䪆	革曲一䒑
䪇	革艹甫寸
䪈	革口丄辶
䪋	革口丄辶
䪌	革⺈口丶
䪍	革門木丷
䪎	革山隹口
䪏	𫝀口ヰ人
䪏	𫝀口ヰ入
䪐	𫝀口ヰ丿
䪑	𫝀口ヰ匕
䪒	𫝀口ヰ王
䪓	𫝀口ヰ口
䪔	𫝀口ヰ甫
䪕	𫝀口ヰ米
䪖	𫝀口ヰ夊
䪗	𫝀口ヰ又
䪘	𫝀口ヰ龰
䪙	𫝀口ヰ寸
䪚	𫝀口ヰ习
䪛	𫝀口ヰ田
䪜	𫝀口ヰ言
䪝	𫝀口ヰ又
䪞	一大非一
䪟	一巾又一
䪠	丿㇉丨一
䪡	丿㇉丨一
䪢	丿㇉丨一
䪣	一巾丿一
䪤	非一丿田
䪥	⺊冖一一
䪨	立日勹丶
䪩	立日人乛
䪪	力口立日
䪫	立日一工
䪬	立日十子
䪭	立日立日
䪮	立日勹屮
䪯	火火冖日
䪰	立日立心
䫄	丷口儿頁
䫄	八口儿頁
䫇	彡冂二頁
䫈	山人一頁
䫈	山人丶頁
䫎	又又又頁
䫑	大丁口頁
䫔	丰刀大頁
䫕	亠丷冖頁
䫗	尸二コ頁
䫘	日勹人頁
䫙	十廾木頁
䫛	亻ユ矢頁
䫜	山幺幺頁
䫠	彡不口頁
䫡	䒑彐〢頁
䫣	爫幺大頁
䫤	冖日亠頁
䫦	土厶皿頁
䫧	白大十頁
䫨	士方夊頁
䫨	龶勹夊頁
䫩	厶厶厶頁
䫪	大乂乂頁
䫫	口十口頁
䫬	匚儿匚頁
䫭	口丄貝頁
䫮	彐工口頁
䫯	方大丁頁
䫰	頁米夕ヰ
䫲	戊一口頁
䫳	罒勹虫頁
䫴	木木示頁
䫵	自穴方頁
䫶	乂乂木頁
䫶	木乂乂頁
䫷	王口口頁
䬅	風力力力
䬇	丷口儿風
䬇	八口儿風
䬈	風丷口儿
䬈	風八口儿
䬊	風大人人
䬋	風土儿夊
䬋	風土八夊
䬍	風勹𰀪心
䬎	風戈口一
䬒	風宀火又
䬔	風人一刂
䬗	日一勹風
䬛	風日龷十
䬛	風田龷十
䬜	風文凵厶
䬝	風卄二八
䬝	風龷由八
䬞	風士乛寸
䬟	風卯金刂
䬮	食乚丶人
䬸	一夕又食
䬽	食丷口儿
䬽	食八口儿
䬾	食丷弓丿
䭀	食⺄十辶
䭀	食乛十辶
䭃	食人一心
䭃	食人丶心
䭄	食𬺰口彐
䭇	食勹士口
䭈	食彐𰀁廴
䭉	食𠂇工⺼
䭉	食𠂇工月
䭊	食艹冂大
䭋	食亻口木
䭑	食䒑彐八
䭓	食山一䒑
䭖	食广卄灬
䭗	食立日儿
䭙	食匚儿日
䭛	食丅耳夊
䭛	食乛耳夊
䭜	食大丷小
䭝	食人一日
䭞	食罒土𢆉
䭟	食艹世木
䭠	食广䒑八
䭡	食爫工心
䭢	食宀心丁
䭣	食亠丷二
䭤	食口丄辶
䭥	食⺷八艮
䭥	食䒑夫艮
䭦	食艹氵寸
䭨	食山隹口
䭪	饣日一里
䭫	匕日䒑自
䭬	匕日巛目
䭯	禾日屮凵
䭰	禾日𡗗𰀁
䭱	禾日丷八
䭲	禾日大口
䭳	禾女鬼日
䮂	馬𠂇乂丶
䮂	馬𠂇又丶
䮋	馬一夕刂
䮎	馬乂𠂇巾
䮏	馬一𫝀口
䮐	馬冂儿口
䮐	馬冂八口
䮔	馬千艹二
䮔	馬千龷一
䮕	馬又又又
䮗	馬山厂干
䮙	馬戈口一
䮚	馬土儿夊
䮚	馬土八夊
䮛	馬阝亻寸
䮟	馬宀火又
䮠	馬一口田
䮡	馬𠂉日夊
䮣	馬又又木
䮥	馬一口丅
䮥	馬一口丨
䮧	十早人馬
䮧	十早𠂉馬
䮪	馬夕ヰ木
䮫	馬口十女
䮬	馬艹日大
䮯	馬士方夊
䮯	馬龶勹夊
䮰	馬亠丷古
䮲	馬卄二八
䮲	馬龷由八
䮳	馬丿米田
䮴	馬癶一䒑
䮷	馬罒勹虫
䮸	乂乂𦥑馬
䮸	𦥑乂乂馬
䮹	馬止戊𣥂
䮺	馬亠丷二
䮻	馬士乛寸
䮼	馬火火ヰ
䮿	馬宀𠀎足
䯀	馬耳耳耳
䯂	馬馬馬木
䯄	马口冂人
䯅	马耳又又
䯋	骨𠂇乂丶
䯋	骨𠂇又丶
䯍	骨人一マ
䯍	骨人丶マ
䯐	骨冂人人
䯔	骨宀丿七
䯗	骨匕匕土
䯘	骨宀一兀
䯛	骨宀夕㔾
䯜	骨日勹𰀪
䯝	骨𠂇工⺼
䯝	骨𠂇工月
䯠	骨囗人皿
䯡	骨䒑彐八
䯣	骨口丄貝
䯤	骨人一日
䯥	骨日幺灬
䯦	骨卝罒丶
䯦	骨艹罒丶
䯹	髟彐冖又
䯾	髟⺆土口
䯿	髟亠人十
䰆	髟予丿木
䰋	髟日宀女
䰌	髟彳人龰
䰍	髟木人水
䰎	髟口丄貝
䰏	髟十戈隹
䰐	髟臣𠂉皿
䰒	髟艹冖豕
䰓	髟自穴方
䰔	髟舟殳皿
䰕	髟虍田皿
䰖	髟⺧儿貝
䰗	鬥⺈口电
䰘	鬥习习彡
䰙	一口冂又
䰚	一口冂文
䰛	一口冂瓦
䰜	弓一口弓
䰝	一口冂日
䰞	弓耂日丨
䰣	鬼冂乂乂
䰥	戈口一鬼
䰫	鬼土土兀
䰬	鬼予丿口
䰮	鬼⺷丿戈
䰯	鬼匕矢龰
䰱	雨口口鬼
䰼	魚人一乛
䰼	魚人丶乛
䱍	魚一𱼀一
䱎	魚一日一
䱏	魚一口䒑
䱔	魚亻丨夊
䱖	魚丌匚コ
䱗	⺊夕又魚
䱙	魚上小又
䱛	魚戈口一
䱢	魚⺈彐亅
䱢	魚爫彐亅
䱣	魚亠人十
䱥	牛冂刂魚
䱧	魚丷夫㔾
䱨	魚木冂刂
䱩	魚冂䒑亡
䱫	木口刂魚
䱬	魚乛龰⺼
䱬	魚乛龰月
䱭	魚忄一一
䱮	魚丰刀大
䱯	予丿夊魚
䱱	魚亠丷巾
䱴	魚忄一一
䱵	魚八厶习
䱶	魚丶彐阝
䱶	魚丶艮阝
䱸	魚臼丨又
䱸	魚𦥑丨又
䱺	魚山一䒑
䱽	魚人一口
䱽	魚人丶口
䱾	魚口十女
䲀	土𢆉九魚
䲁	魚尸示寸
䲂	魚方𠂉龰
䲃	魚巛日木
䲄	魚𠂉母夊
䲇	魚木口辶
䲊	魚阝𠂇⺼
䲊	魚阝𠂇月
䲋	魚夫夫日
䲌	魚士示欠
䲍	舟丷夫魚
䲎	魚丅耳夊
䲎	魚乛耳夊
䲏	魚火火力
䲐	魚虍田力
䲑	魚⺷丿戈
䲒	魚⺈⺆牛
䲒	魚⺈用牛
䲔	魚一田一
䲕	魚䒑业日
䲖	魚士乛寸
䲗	魚彳金亍
䲘	魚⺮宀コ
䲙	魚⺮彐卩
䲚	魚木口貝
䲛	魚卝罒目
䲛	魚艹罒目
䲜	魚魚魚魚
䲢	月丷夫鱼
䲯	丿乛又鳥
䳁	鳥𠂇乂丶
䳁	鳥𠂇又丶
䳊	𠂇乂丶鳥
䳊	𠂇又丶鳥
䳗	鳥丿扌戈
䳘	鳥丿扌戈
䳜	人一木鳥
䳠	千艹二鳥
䳠	千龷一鳥
䳣	十戈勹鳥
䳤	丷巾八鳥
䳥	山人一鳥
䳥	山人丶鳥
䳦	宀一日鳥
䳧	鳥亻ユ矢
䳫	癶一大鳥
䳭	彐厶卩鳥
䳭	白匕卩鳥
䳮	⺼丶水鳥
䳮	月丶水鳥
䳰	亻口木鳥
䳱	予丿夊鳥
䳳	屮凵示鳥
䳶	鳥爫幺大
䳷	彳人人鳥
䳹	鳥宀一又
䳺	人一乛鳥
䳺	人丶乛鳥
䳼	鳥匚口口
䳾	癶一口鳥
䳿	𱼀犬灬鳥
䴂	⺈口𧰨鳥
䴂	⺈𫩏𧰨鳥
䴃	土土土鳥
䴄	爫冖夕鳥
䴅	十廾貝鳥
䴆	业䒑夫鳥
䴇	雨人一鳥
䴇	雨人丶鳥
䴈	𰃦丿米鳥
䴈	𰃦米大鳥
䴉	罒一口鳥
䴊	⺷丿扌鳥
䴋	鳥罒一𧘇
䴌	鳥艹冖豕
䴎	田田田鳥
䴏	卄一口鳥
䴐	宀王缶鳥
䴑	田田田鳥
䴒	雨口口鳥
䴔	亠八乂鸟
䴕	一夕刂鸟
䴙	尸口辛鸟
䴝	鹵冂二又
䴝	鹵日耳又
䴞	鹵习习隹
䴡	一业丿匕
䴣	鹿丿丷𬺰
䴨	鹿厂白小
䴪	鹿示彐水
䴪	鹿示彑水
䴫	鹿雨人マ
䴭	來夊𬺰丿
䴯	來夊勹𰀪
䴱	來夊宀匕
䴴	來夊⺊口
䴵	來夊䒑廾
䴶	來夊夊丰
䴷	來夊宀兀
䴸	來夊爫子
䴹	來夊日木
䴺	來夊立口
䴻	禾勹丿夊
䴼	來夊戈戈
䴾	來夊⺶工
䴿	來夊冖豕
䵀	來夊⺌貝
䵀	來夊小貝
䵁	來夊爿寸
䵂	來夊亠古
䵃	來夊卄八
䵃	來夊龷八
䵄	來夊曲䒑
䵅	士方夊夊
䵅	龶勹夊夊
䵆	來夊艹豕
䵈	彳幺夊麻
䵉	麻人一刂
䵊	⺆亠卄八
䵊	⺆亠龷八
䵋	卄二田月
䵋	龷由八月
䵌	卄二田人
䵌	龷由八人
䵍	卄二田子
䵍	龷由八子
䵎	卄二田而
䵎	龷由八而
䵏	卄二田彡
䵏	龷由八彡
䵐	卄二田十
䵐	龷由八十
䵑	禾人水丶
䵒	禾人水日
䵓	禾人水牛
䵔	禾人水日
䵕	禾人水古
䵖	臣又禾水
䵗	禾人水田
䵘	禾人水𰀪
䵙	禾人水夕
䵚	禾人水臼
䵛	禾人水土
䵜	禾人水辰
䵦	黑氵一𬺰
䵪	黑日匕匕
䵫	宀夕㔾黑
䵮	黑日一𰀪
䵰	黑𠂉日𰀪
䵲	黑口口木
䵳	黑人一日
䵵	⺮目大黑
䵹	矢口一彐
䵺	土目爿片
䵻	目爿片彐
䵼	爿𱼀寸片
䵽	壴十又厶
䵾	亻寸壴又
䵿	壴十又口
䶀	壴十又合
䶁	壴十又日
䶊	自田丌丑
䶋	自田丌乀
䶋	自田丌又
䶌	自田丌巳
䶍	至自田丌
䶎	自田丌合
䶏	丷弓丨丌
䶐	自田丌日
䶑	自田丌龰
䶒	亠丷丨女
䶓	巾亠丷二
䶖	齒人一乛
䶖	齒人丶乛
䶛	一夕刂齒
䶝	齒大人人
䶠	戊一口齒
䶢	齒戊一口
䶣	齒山一䒑
䶧	齒土土兀
䶩	齒亠丷二
䶪	齒十戈隹
䶫	齒口口夊
䶮	尤丿一大
䶱	夊⺀⺈乂
䶱	夊⺀丿乂
䶲	冂土⺈乂
䶲	冂土丿乂
䶶	上扌日龰
䶼	月八厶心
䶽	月乂凵夊
两	一冂人人
书	乛㇆丨丶
乯	丿丷𬺰乙
乷	氵小丿乙
乻	方人⺀乙
乼	氵丶王乙
乾	十早𠂉乙
亁	十日干乙
亂	爫マ冂乚
亃	米夕ヰ乚
亄	士冖一乚
亝	厶厶厶二
亟	丂口又一
亟	了口又一
亱	亠亻日一
亵	亠扌九𧘇
亶	亠囗口一
亷	立丿彐八
亹	亠冂一且
亹	亠𦥑冂且
仱	亻人一乛
仱	亻人丶乛
伋	亻丿乛又
传	亻二㇉丶
伪	亻丶力丶
伶	亻人一マ
伶	亻人丶マ
伺	亻㇆一口
似	亻乚丶人
佀	亻丨ココ
佩	亻几一巾
佹	亻⺈厂㔾
佼	亻亠八乂
使	亻一口乂
侀	亻一廾刂
侂	亻广丿七
侉	亻大一丂
例	亻一夕刂
侌	人一乛厶
侌	人丶乛厶
侗	亻冂一口
侘	亻宀丿七
侟	亻𠂇丨子
侢	亻一冂土
侥	亻七丿兀
侩	亻人二厶
侭	亻尸乀⺀
侰	亻彐丿口
侳	亻人人土
侴	人一丑刂
侵	亻彐冖又
侷	亻尸㇆口
侸	亻一口䒑
侺	亻山人乛
侻	亻丷口儿
侻	亻八口儿
侼	亻十冖子
便	亻一日乂
俁	亻口㇉大
俄	亻丿扌戈
俅	亻一水丶
俆	亻人一木
俉	亻一𫝀口
俊	亻厶儿夊
俊	亻厶八夊
俒	亻宀一兀
俓	亻一巛工
俗	亻八人口
俙	亻乂𠂇巾
俛	亻⺈口儿
俞	人一月刂
俠	亻大人人
俣	亻口一大
俤	亻丷弓丿
俨	亻一业丿
俩	亻一冂人
修	亻丨夊彡
俯	亻广亻寸
俲	亻亠八力
俶	亻上小又
俼	亻七丶月
俼	亻亠厶月
倂	亻丿干干
倃	亻夊人口
倃	亻夊卜口
倄	亻乂𠂇⺼
倄	亻乂𠂇月
倅	亻亠人十
倆	亻一巾入
倇	亻宀夕㔾
倉	人一彐口
倉	人丶彐口
倊	亻八厶心
倌	亻宀尸コ
倎	亻冂龷八
倏	亻丨夊犬
倐	亻丨夊火
倔	亻尸屮凵
倕	亻千艹二
倕	亻千龷一
候	亻丨ユ矢
倚	亻大丁口
倜	亻⺆土口
倢	亻一彐龰
値	亻十目乚
倦	亻丷夫㔾
倫	亻人一冊
倯	亻木八厶
倰	亻土儿夊
倰	亻土八夊
倱	亻日匕匕
倳	亻𬺰口彐
倴	亻大十廾
倵	亻一弋止
倶	亻目一八
偀	亻艹冂大
偁	亻爫冂土
偂	亻䒑月刂
偃	亻匚日女
假	亻尸二又
偈	亻日勹乚
偉	亻𫝀口ヰ
偋	亻尸䒑廾
偌	亻艹𠂇口
偍	亻日一龰
偐	亻立丿彡
偒	亻日一𰀪
偔	亻口口丂
偕	亻匕匕白
偗	亻小丿目
偘	亻口口口
偙	亻亠丷巾
偝	亻丬匕⺼
偝	亻丬匕月
健	亻彐𰀁廴
偦	亻乛龰⺼
偦	亻乛龰月
偧	亻大夕夕
偨	亻止匕木
偪	亻一口田
偫	亻彳土寸
偫	亻彳士寸
偬	亻勹𰀪心
偰	亻丰刀大
偱	亻⺁十目
偷	亻人一刂
偸	亻人一巜
偸	亻入一巜
偹	亻丨夊田
偺	亻夊人日
偺	亻夊卜日
偼	亻⺊彐龰
偾	亻十廾贝
偿	亻龸二厶
傁	亻臼丨又
傁	亻𦥑丨又
傄	亻大丷目
傆	亻厂白小
傋	亻𠀎冂土
傍	亻亠丷方
傏	亻广肀口
傑	亻夕ヰ木
傒	亻爫幺大
傓	亻戶习习
傓	亻户习习
傔	亻䒑彐八
傖	亻人一口
傖	亻人丶口
傗	亻亠幺田
傘	人人人十
備	亻龷丿用
傚	亻亠八夊
傛	亻穴人口
傝	亻冂二习
傝	亻日习习
傟	亻八厶习
傤	亻十戈车
傧	亻宀斤八
储	亻讠耂日
傪	亻厶厶彡
傭	亻广肀月
傰	亻山月月
傱	亻彳人龰
傲	亻士方夊
傲	亻龶勹夊
傴	亻匚口口
傶	亻戊上小
傷	亻𠂉日𰀪
傸	亻大乂乂
傹	亻立日儿
傼	亻卄一夫
傿	亻正丂灬
僀	亻卌一巾
僁	亻丿米心
僂	亻口十女
僃	亻卝勹用
僃	亻艹勹用
僇	亻习习彡
僈	亻冂二又
僈	亻日罒又
僊	亻覀大㔾
僊	亻覀大巳
僋	亻人一貝
僋	亻人丶貝
働	亻千里力
僎	亻巳巳八
像	亻⺈口𧰨
像	亻⺈𫩏𧰨
僐	亻⺷䒑口
僐	亻羊䒑口
僑	亻夭口口
僒	亻穴彐口
僓	亻口丄貝
僔	亻丷酉寸
僕	亻业䒑夫
僗	亻火火力
僙	亻卄二八
僙	亻龷由八
僚	亻大丷小
僜	亻癶一䒑
僝	亻尸子子
僟	亻幺幺人
僠	亻丿米田
僢	亻爫冖ヰ
僣	亻夫夫日
僤	亻口口十
僥	亻土土兀
僨	亻十廾貝
僪	亻予丿口
僭	亻匚儿日
僯	亻米夕ヰ
僰	木冂木人
僲	亻覀夕ヰ
僵	亻一田一
僷	亻艹世木
僸	亻木木示
僺	亻口口木
僻	亻尸口辛
僼	亻曲一䒑
僽	亻禾火心
僾	亻爫冖夊
僿	亻宀𠀎土
儀	亻⺷丿戈
儃	亻亠囗一
億	亻立日心
儆	亻卝勹夊
儆	亻艹勹夊
儇	亻罒一𧘇
儈	亻人一日
儊	亻木木龰
儋	亻⺈厂言
儌	亻白方夊
儍	亻𠂭凵夊
儎	亻十戈車
儏	亻⺊夕米
儐	亻宀一貝
儑	亻日幺灬
儓	亻士口至
儔	亻士乛寸
儕	亻亠丷二
儖	亻臣𠂉皿
儗	亻匕矢龰
儘	亻肀一皿
儙	亻口丄辶
儚	亻卝罒夕
儚	亻艹罒夕
儛	亻𠂉卌ヰ
儜	亻宀心丁
儝	亻火火木
儞	亻一八乂
儡	亻田田田
儢	亻虍田心
儣	亻广卄八
儣	亻广龷八
儤	亻日龷水
儥	亻士罒貝
儧	亻夫夫貝
儨	亻斤斤貝
儩	亻貝日𰀪
優	亻丆月夊
儬	亻龶月見
儭	亻立木見
儮	亻厂禾止
儯	亻丷夫馬
儲	亻言耂日
儳	亻⺈口丶
儵	亻丨夊黑
儶	亻山隹口
儸	亻罒糹隹
儹	亻⺧儿貝
儺	亻卄一隹
儼	亻口口夊
儽	亻田田糸
儾	亻十口𧘇
兎	丿口儿丶
兓	匚儿匚儿
