×	乂
𬷘	彳壬鳥
𬷛	亠业鳥
𬷝	大示鳥
𬷞	木木鳥
𬷟	鳥戈戈
𬷠	𱼀木鳥
𬷧	方皿鳥
𬷨	辰寸鳥
𬷩	隹又鳥
𬷫	示申鳥
𬷬	宀豕鳥
𬷯	氵隹鳥
𬷿	鸟人人
𬸂	丁口鸟
𬸃	王丶鸟
𬸄	尤丿鸟
𬸅	⺈彐鸟
𬸇	力口鸟
𬸊	亻壬鸟
𬸋	牛匕鸟
𬸌	乂朩鸟
𬸍	丰寸鸟
𬸎	禾刂鸟
𬸏	丶艮鸟
𬸐	广木鸟
𬸕	贝贝鸟
𬸖	火火鸟
𬸛	白王鸟
𬸜	户冊鸟
𬸝	立日鸟
𬸞	米女鸟
𬸟	尸至鸟
𬸤	西示鸟
𬸥	𡗗臼鸟
𬸨	其欠鸟
𬸰	雨隹鸟
𬸲	鹵匕匕
𬸼	尸匕鹿
𬹊	龶夊其
𬹏	麻文口
𬹕	黑⺊贝
𬹖	黑冖𧘇
𬹗	黑一米
𬹚	黑止虫
𬹵	齒乃木
𬹶	齒亠𧘇
𬺗	立电下
𬺘	立电山
𬺛	尤丿大
𬺜	尤丿木
𬺞	⺈口电
𬺴	乙一一
𬺵	二乚一
𬺶	丅乚亅
𬺷	丆亅丿
𬺸	一乚丷
𬺺	口一乚
𬺻	丆亅𰀪
𬺾	口乚一
𬺿	十口丶
𬻃	丆几〢
𬻄	丁丁丁
𬻅	丁亠八
𬻉	一尸十
𬻊	一大下
𬻌	十日乀
𬻍	一申丿
𬻎	七力口
𬻏	弓丨上
𬻐	一日丁
𬻓	尤丿下
𬻖	丁⺈巴
𬻛	不土厶
𬻝	𠂉卌二
𬻡	扌立下
𬻣	丁穴牙
𬻤	糹工丁
𬻨	犭虫下
𬻩	木艮下
𬻬	尚口丄
𬻰	下西早
𬻲	丩刀乀
𬻳	口丨丁
𬻻	丶王乚
𬼇	丿七人
𬼉	丿一止
𬼙	十七乚
𬼚	匕乚匕
𬼝	土厶乙
𬼞	七丿彐
𬼟	𠂉口乙
𬼢	乙巳七
𬼣	九⺀大
𬼤	女口乙
𬼥	木口乙
𬼦	木土乙
𬼨	夕口也
𬼩	䒑廾也
𬼮	田廾也
𬼯	自木乙
𬼱	氵甫乙
𬽅	丶下口
𬽇	亠夕匕
𬽉	亠日了
𬽊	亠日子
𬽌	亠卄木
𬽑	亠⺽人
𬽖	亠巾來
𬽜	亠糹隹
𬽦	亻九丶
𬽧	亻⺈乀
𬽨	亻人丨
𬽩	亻ナ匕
𬽫	亻⺀十
𬽭	亻ユ人
𬽯	亻匚口
𬽰	亻干刂
𬽱	亻口丂
𬽲	亻𠂉也
𬽳	亻几巾
𬽴	亻千又
𬽵	亻亻寸
𬽶	亻宀几
𬽷	亻广厶
𬽸	亻宀卜
𬽹	亻口又
𬽺	亻夊刀
𬽻	亻厂火
𬽾	亻人止
𬾃	亻亡大
𬾄	亻厶文
𬾅	亻古儿
𬾈	亻牙阝
𬾍	人止也
𬾎	亻山月
𬾏	亻龵阝
𬾐	亻白儿
𬾒	亻禾几
𬾓	亻丿虫
𬾔	亻宀夭
𬾗	亻亠矢
𬾛	亻日木
𬾞	亻斤辶
𬾟	亻戶斤
𬾢	亻氵皮
𬾨	亻夊用
𬾰	亻日生
𬾶	亻合土
𬾷	亻八豕
𬿀	亻艹合
𬿂	亻門人
𬿄	亻罒电
𬿆	亻舟殳
𬿈	亻隹又
𬿉	亻⺮廾
𬿏	亻巛言
𬿙	亻夊里
𬿛	亻广隶
𬿜	亻⺶目
𬿡	亻龷隹
𬿦	亻工頁
𬿫	亻隹辶
𬿰	亻王頁
𬿿	亻千黑
𭀈	亻田鳥
𭀉	亻夊黑
𭀊	亻白鳥
𭀕	僉尚巾
𭀗	丩乚丶
𭀘	乚丩乚
𭀙	𠂉丩乚
𭀚	亠丩乚
𭀛	乙厶儿
𭀞	一兀夕
𭀠	𠂉口儿
𭀢	大口儿
𭀤	䒑䒑儿
𭀦	⺌兀夭
𭀪	一兀虎
𭀫	一兀長
𭀻	冂入乙
𭀼	入土厶
𭀾	口卩入
𭀿	入女子
𭁅	八厶卜
𭁊	冫欠八
𭁌	丷𰀁方
𭁎	八厶且
𭁒	貝刂八
𭁓	八厶甫
𭁟	冂一丨
𭁠	冂丨二
𭁡	丆冂二
𭁫	世冂二
𭁭	⺌冂水
𭁸	冖⺊早
𭁺	冖礻寸
𭁻	冖尸田
𭁿	冖礻殳
𭂊	冫尸匕
𭂋	冫士口
𭂍	冫止匕
𭂏	冫亻立
𭂕	冫彐水
𭂙	冫隹又
𭂝	冫尚巾
𭂠	冫門日
𭂫	丿几丶
𭂭	八刀几
𭂯	𠂉几十
𭂰	冂大几
𭂱	几ナ月
𭂷	目目几
𭂺	几千黑
𭂻	千凵凵
𭃅	刀乀刂
𭃆	又丶刂
𭃇	刀又丶
𭃈	刀八丂
𭃍	𰀁刀刀
𭃏	上卜刂
𭃐	上卜刀
𭃑	刀上卜
𭃒	口又刂
𭃕	刀士口
𭃚	生刀丶
𭃛	刀乂朩
𭃜	亻犬刀
𭃝	刀亻戈
𭃞	夕口刂
𭃡	礻勹丿
𭃢	刀大辶
𭃨	衤勹丿
𭃩	木木刀
𭃬	口冊刂
𭃯	夊木刂
𭃳	厶虫刂
𭃸	宀至刂
𭃽	刀𠃜目
𭄁	卯田刂
𭄂	彳走刀
𭄇	車斤刀
𭄈	业⺷刂
𭄤	彳力亍
𭄥	女口力
𭄦	土方力
𭄫	丷田力
𭄬	土𢆉力
𭄯	牙夊力
𭄰	日木力
𭄱	力口瓜
𭄲	穴工力
𭄳	艹且力
𭄴	亠里力
𭄿	龷隹力
𭅅	勹又乚
𭅇	勹⺊口
𭅈	勹亠巾
𭅉	勹𰀪斤
𭅊	勹䒑止
𭅌	其勹丶
𭅐	䒑丿匕
𭅑	丷夫匕
𭅒	⺷丿匕
𭅓	十早匕
𭅕	匚一𬺰
𭅖	一丨王
𭅘	匚丶王
𭅚	匚夕夕
𭅯	⺊彐丿
𭅰	⺊彐丿
𭅳	丶ㄗ丶
𭅵	一夕卩
𭅶	土土卩
𭅷	耂匕ㄗ
𭅹	夕夕㔾
𭆀	厂𠂉乙
𭆁	厂口乙
𭆂	厂日乙
𭆃	厂巳七
𭆅	厂白儿
𭆆	牙夊厂
𭆇	厂丰欠
𭆈	厂亻糸
𭆊	厂耳阝
𭆍	厂艹早
𭆎	厂貝寸
𭆏	厂羊欠
𭆖	厂火頁
𭆙	厶ナ又
𭆚	厶一廾
𭆞	厶大水
𭆟	木木厶
𭆪	丨申又
𭆲	爫罒又
𭆾	口乂乙
𭆿	口丿七
𭇀	口丶乂
𭇃	口大一
𭇄	丁口丁
𭇅	口⺊又
𭇈	彡丨口
𭇊	口亠八
𭇌	刀口匕
𭇍	九口匕
𭇎	口丁口
𭇏	丁夊口
𭇐	口卄二
𭇑	丬匕口
𭇒	口⺆卄
𭇓	口斤丶
𭇔	口人山
𭇖	口冖干
𭇗	口广厶
𭇘	口广了
𭇙	口氵又
𭇚	口⺀大
𭇛	口丶水
𭇝	山口匕
𭇞	口戈刂
𭇠	士口也
𭇡	口大寸
𭇣	口匕日
𭇤	牛口匕
𭇥	人爫口
𭇨	口𰀪不
𭇪	戸又口
𭇫	口⺍川
𭇬	口宀子
𭇭	口亡女
𭇮	口氵工
𭇯	口文刂
𭇲	口又欠
𭇳	口又欠
𭇴	口䒑廾
𭇵	口土斤
𭇶	口木子
𭇺	口欠口
𭇼	口艹巳
𭇽	口日巾
𭈀	口禾厶
𭈁	口亻申
𭈅	口舌乚
𭈇	口文巾
𭈈	口亠田
𭈊	口巛巴
𭈋	口刀白
𭈌	口臣人
𭈍	口十艮
𭈎	口艹夭
𭈏	口艹夫
𭈒	口月月
𭈙	口月巴
𭈛	口禾子
𭈜	口夊田
𭈝	戶斤口
𭈞	口户月
𭈡	口氵且
𭈢	口礻阝
𭈣	口氵未
𭈦	口子瓜
𭈭	口日月
𭈮	口不辶
𭈯	口土亥
𭈳	口耳巳
𭈷	口土艮
𭈻	口日生
𭈼	口口早
𭈽	口虫也
𭈾	口日卯
𭉂	口彳艮
𭉄	口舟巳
𭉆	口忄艮
𭉇	口冖豕
𭉉	口氵舌
𭉎	口亦弓
𭉐	口女至
𭉑	口阝艮
𭉙	口䒑合
𭉜	口扌里
𭉤	口止虫
𭉥	咼亠几
𭉧	口尚儿
𭉨	口隹乃
𭉬	口禾未
𭉭	口犭里
𭉷	口示且
𭉼	口又隹
𭊂	口木里
𭊢	馬口匕
𭊩	口面土
𭊫	口其月
𭊱	口足皮
𭊳	口門心
𭊾	口糹至
𭋈	口罒非
𭋒	口烏阝
𭋢	口面且
𭌊	壴口見
𭍀	口尚黑
𭍐	口齒來
𭍛	囗儿厶
𭍜	囗人㔾
𭍝	囗土厶
𭍞	囗人日
𭍟	囗氵工
𭍠	龶囗口
𭍡	囗口戈
𭍢	囗犭王
𭍣	囗夕方
𭍥	龶罒二
𭍦	囗艹方
𭍧	囗止月
𭍪	囗口耳
𭍫	囗示示
𭍬	囗龶貝
𭍰	囗氵隹
𭍼	丩土丶
𭍾	土十又
𭍿	土一廾
𭎀	土勹匕
𭎂	土人人
𭎃	土冖儿
𭎄	土七刀
𭎈	冂土子
𭎉	土夕卜
𭎍	幺力土
𭎎	土八干
𭎐	土巳土
𭎑	土厂火
𭎒	土土寸
𭎔	土止匕
𭎙	䒑口土
𭎚	土氵干
𭎛	土习习
𭎜	土丰寸
𭎟	土不口
𭎠	土不土
𭎡	土上日
𭎢	田厶土
𭎥	土宀木
𭎦	氵木土
𭎧	土勹田
𭎨	土氵夭
𭎫	土龶𧘇
𭎬	土土𢆉
𭎮	日月土
𭎯	土日月
𭎰	土禾子
𭎱	土斤辶
𭎷	土丰皿
𭎼	土口艮
𭎿	土舟彡
𭏂	忄艮土
𭏄	氵合土
𭏈	氵自土
𭏉	土水田
𭏊	土尸羊
𭏌	土𡗗示
𭏜	土舟殳
𭏠	土尚土
𭏦	土⺷皿
𭏭	尚夊土
𭏾	土門耳
𭐒	士力口
𭐕	壴⺈乀
𭐡	心丿夊
𭐢	卄三夊
𭐦	亦一夊
𭐧	木木夊
𭐯	貝貝夊
𭐴	⺈丶夕
𭐵	夕彐丿
𭐶	夕夕又
𭐽	夕夕來
𭑃	大一𬺰
𭑄	乂凵大
𭑅	大コ冂
𭑉	八口大
𭑊	丷夫⺀
𭑋	冫士大
𭑌	夫匚コ
𭑍	口口大
𭑏	⺈罒大
𭑐	丿夫母
𭑒	𠂉罒大
𭑗	大西土
𭑙	一大門
𭑚	夭月月
𭑯	女勹乂
𭑲	口丄女
𭑳	女冂口
𭑴	女予丿
𭑵	幺力女
𭑸	女冖𧘇
𭑹	女䒑大
𭑺	女戈廾
𭑻	女匚甲
𭑼	女口木
𭑽	女门心
𭑿	戊丷女
𭒀	牙夊女
𭒁	王王女
𭒂	口皮女
𭒃	女⺈臼
𭒅	女耳阝
𭒆	女𦣞巳
𭒉	女白水
𭒍	西女夭
𭒎	女𡗗电
𭒏	女⺷火
𭒚	女合冊
𭒟	女糹至
𭒨	女穴咼
𭒺	子几丶
𭒻	子丶乂
𭓀	子䒑二
𭓃	子古儿
𭓅	子爫子
𭓆	宀子之
𭓉	子龶月
𭓍	子宀且
𭓑	子田心
𭓠	宀𠂉十
𭓢	宀一水
𭓣	宀卄二
𭓤	宀ナ巾
𭓥	宀⺊口
𭓧	宀千又
𭓨	宀䒑二
𭓩	宀夕匕
𭓪	宀⺌兀
𭓬	宀夕㐄
𭓭	宀亻木
𭓮	宀耂匕
𭓰	宀ナ用
𭓱	宀虫一
𭓲	宀⺈用
𭓳	宀立丁
𭓴	宀至刂
𭓶	宀⺊早
𭓹	宀爪爪
𭓺	宀忄未
𭓽	宀癶山
𭔓	宀隹灬
𭔩	一勹寸
𭔪	匚儿寸
𭔫	工几寸
𭔬	丩夕寸
𭔭	土也寸
𭔮	上下寸
𭔯	夕夕寸
𭔲	己心寸
𭔶	其乚寸
𭔹	艹至寸
𭕅	小乃乀
𭕇	一大小
𭕈	⺌彐丁
𭕊	小亠𧘇
𭕍	八儿干
𭕕	尸木一
𭕗	尸匕也
𭕙	尸扌𰀁
𭕚	尸土也
𭕟	尸毛也
𭕤	尸貝刂
𭕫	尸彳走
𭕬	尸文羊
𭕻	尸古僉
𭕾	丿屮一
𭖀	山乙丶
𭖂	山一𬺰
𭖃	山⺈乀
𭖅	山厂厶
𭖆	山厂㔾
𭖈	山〢〢
𭖉	山冖儿
𭖊	冖儿山
𭖌	山日一
𭖏	山人土
𭖐	山亠巾
𭖑	山心丿
𭖒	山丶王
𭖔	力口山
𭖕	山匚王
𭖖	山丆日
𭖙	山⺌兀
𭖚	山夕夕
𭖛	山水凵
𭖜	水人山
𭖝	山女子
𭖞	山幺幺
𭖟	山大辶
𭖡	山古儿
𭖥	山夊月
𭖧	山氵王
𭖩	山土𢆉
𭖪	山龶母
𭖭	山⺊早
𭖱	山尸古
𭖴	山罒方
𭖸	山白夊
𭖽	禾火山
𭗉	山戊臣
𭗋	山小隹
𭗍	山立早
𭗑	山尸雨
𭗔	山木隹
𭗖	山壴口
𭗝	山隹辶
𭗣	山皮頁
𭗪	山禾鬼
𭗴	山魚羊
𭗻	一𫶧ユ
𭗽	巛一大
𭗾	巛乂凵
𭗿	巛⺊夕
𭘅	工勹丶
𭘆	王人人
𭘇	工夊口
𭘊	䒑丿巳
𭘏	巴扌立
𭘑	⺁一巾
𭘓	巾一尢
𭘔	巾𠂉十
𭘗	巾囗又
𭘙	巾宀匕
𭘚	巾厶口
𭘛	巾厂火
𭘜	巾⺌兀
𭘞	巾夊口
𭘡	巾口王
𭘢	禾刂巾
𭘤	巾⺷几
𭘦	巾巛田
𭘪	巾田月
𭘰	巾甫寸
𭘴	巾衤皮
𭘶	巾虍豕
𭘾	𠂉十二
𭘿	干土厶
𭙀	干⺊口
𭙁	干丷文
𭙃	干丶艮
𭙋	幺勹冫
𭙐	广𠂉乙
𭙑	广丶⺀
𭙗	广弓一
𭙘	广冂大
𭙚	广大弓
𭙛	广⺌兀
𭙝	广𠂉母
𭙠	广彳殳
𭙡	广マ用
𭙢	广臼儿
𭙩	广舟殳
𭙫	广𢆉艮
𭙭	广⺶工
𭙯	广龷貝
𭙲	广隹口
𭙳	广隹土
𭙶	广隹月
𭙽	麻土厶
𭙿	广艹禺
𭚆	广黑阝
𭚘	生刀廾
𭚜	口馬廾
𭚝	足自卄
𭚠	丿弋丶
𭚩	弓卄二
𭚪	弓斤丶
𭚫	弓人彡
𭚬	弓士口
𭚮	弓夕口
𭚯	女口弓
𭚰	弓习习
𭚱	弓山文
𭚲	弓囗木
𭚷	弓口电
𭚸	弓𠂉虫
𭛀	弓尸至
𭛁	业弓夊
𭛋	貝貝弓
𭛎	彐尸匕
𭛏	彑口䒑
𭛒	彐冖車
𭛚	虍业彡
𭛝	彳乙丄
𭛟	彳土厶
𭛠	彳口又
𭛡	彳冂口
𭛢	彳囗人
𭛣	彳䒑乂
𭛤	彳刀口
𭛥	彳力口
𭛦	彳丿之
𭛧	彳丰八
𭛨	彳冫欠
𭛪	彳厂目
𭛭	彳丿糸
𭛮	彳宀之
𭛯	彳龶月
𭛳	彳爫夫
𭛺	彳虍巾
𭛻	彳禾火
𭛼	彳䒑自
𭜂	彳尚夊
𭜋	一丂心
𭜌	忄一勹
𭜍	丿厶心
𭜎	二乚心
𭜏	忄ナ匕
𭜐	忄一𫝀
𭜒	忄厂㔾
𭜓	一口心
𭜔	忄厂人
𭜕	忄一廾
𭜗	忄⺆亠
𭜘	七丶心
𭜚	忄弋二
𭜞	忄千又
𭜠	忄亻大
𭜡	忄广厶
𭜢	忄厶廾
𭜣	𠂉彐心
𭜥	夕匕心
𭜦	冫口心
𭜧	丷土心
𭜪	囗夊心
𭜭	忄勹文
𭜯	冫水心
𭜰	宀夊心
𭜱	忄矢乚
𭜵	彐彐心
𭜷	木巳心
𭜸	忄耂子
𭜺	牙阝心
𭜻	忄扌斤
𭜽	忄田力
𭝁	彳方心
𭝂	忄爫子
𭝄	忄穴九
𭝆	女欠心
𭝊	彐火心
𭝋	忄彐火
𭝍	大示心
𭝎	忄大示
𭝐	忄匚舟
𭝑	忄日木
𭝔	忄且也
𭝕	忄合卩
𭝘	衤刀心
𭝙	氵皮心
𭝛	宀示心
𭝟	忄尸古
𭝠	來小丶
𭝤	耳阝心
𭝨	臣巳心
𭝩	忄艹古
𭝫	口艮心
𭝬	忄虍𬼖
𭝮	彳艮心
𭝴	氵舌心
𭝺	忄𡗗示
𭝼	忄而心
𭞀	爫艮心
𭞋	忄西心
𭞑	甫夊心
𭞓	扌隹心
𭞲	尚殳心
𭞷	忄隹辶
𭞹	忄龷隹
𭞼	忄西貝
𭟃	忄穴隹
𭟏	臣頁心
𭟓	忄黑土
𭟙	忄雨隹
𭟠	僉夊心
𭟱	䒑丿戈
𭟲	人人戈
𭟳	冂口戈
𭟴	戈上日
𭟵	戈⺈用
𭟷	癶示戈
𭠁	户亠八
𭠂	戶乙口
𭠅	户千又
𭠆	戶勹巳
𭠇	戶口田
𭠈	户方方
𭠐	扌丩乚
𭠑	扌大一
𭠓	手八刀
𭠕	手𠂉十
𭠗	扌ナ口
𭠘	扌口又
𭠚	扌殳乙
𭠛	扌人干
𭠜	扌人土
𭠞	手幺力
𭠡	扌丷口
𭠤	扌戈刂
𭠥	扌ナ月
𭠦	扌大干
𭠨	扌大土
𭠬	扌夕口
𭠯	扌阝寸
𭠰	手丩夊
𭠲	手纟工
𭠳	手古儿
𭠴	手王廾
𭠵	扌戈幺
𭠶	扌士心
𭠸	手丰寸
𭠼	扌山巴
𭠾	扌月土
𭠿	扌亻立
𭡀	扌丿虫
𭡂	扌片夕
𭡃	扌舌乚
𭡅	扌穴力
𭡈	扌彐龰
𭡋	木夊手
𭡓	扌斤夊
𭡕	扌斤辶
𭡙	手户月
𭡜	扌宀申
𭡠	扌木示
𭡡	扌龶母
𭡣	日目手
𭡤	手貝刂
𭡥	扌罒方
𭡦	扌日生
𭡧	扌日卯
𭡩	扌亻言
𭡫	扌犭虫
𭡬	扌亦大
𭡭	扌氵舌
𭡱	扌尸羊
𭡳	扌走己
𭡶	扌艹早
𭡻	手⺮夭
𭡼	手卯田
𭡾	扌气米
𭡿	扌舌𧘇
𭢁	扌米辶
𭢋	扌舟皿
𭢑	手⺶目
𭢓	扌立早
𭢕	扌⺷皿
𭢖	扌言夊
𭢘	扌其月
𭢛	扌而而
𭢜	扌隹辶
𭢡	扌隶辶
𭢤	扌西貝
𭢩	豸艮手
𭢪	扌⺮言
𭢶	扌門臼
𭢻	扌鹿土
𭢽	麻手也
𭣀	手黑土
𭣁	扌尚貝
𭣉	扌門隹
𭣔	十又丶
𭣖	丬十又
𭣤	一夕夊
𭣥	口乂夊
𭣦	⺈彐夊
𭣧	又𰀁夊
𭣨	斤丶夊
𭣩	屮凵夊
𭣬	上小夊
𭣮	牛冂夊
𭣱	乂朩夊
𭣲	𱼀子夊
𭣵	龷弓夊
𭣺	龷方夊
𭣼	牙夊正
𭤆	止米夊
𭤈	叀寸夊
𭤊	立早夊
𭤘	文日一
𭤙	巳七文
𭤟	⺁一丅
𭤡	工几斤
𭤢	斤丿夫
𭤪	土乚方
𭤫	方口丨
𭤭	方卄二
𭤱	方丿之
𭤲	方丷𰀁
𭤴	方尸七
𭤵	土也方
𭤷	方彳亍
𭤸	方𠂉巴
𭤽	方厶虫
𭥂	車殳方
𭥒	日⺁又
𭥓	日二厶
𭥔	日一大
𭥖	日一兀
𭥘	勹乂日
𭥙	日亠几
𭥛	日子乚
𭥜	尸乀日
𭥝	凵乚日
𭥞	日彐丿
𭥠	日厶儿
𭥡	早𠂉乙
𭥢	日一水
𭥣	丬匕日
𭥤	日冂口
𭥥	日彡几
𭥦	日夕卩
𭥧	日夕十
𭥨	日儿夊
𭥪	日䒑二
𭥬	丿耂日
𭥭	日勹止
𭥯	日ナ月
𭥰	日匚王
𭥱	日大寸
𭥲	日匕日
𭥵	日夊口
𭥶	日亻木
𭥷	日𠂉日
𭥸	日夕寸
𭥺	日氵工
𭥾	日亠𧘇
𭥿	日厶㐄
𭦄	日王廾
𭦆	日大辶
𭦇	日艹亡
𭦈	日且八
𭦉	日田力
𭦊	日爫子
𭦌	⺈田日
𭦍	日人目
𭦏	日禾刂
𭦐	日丰阝
𭦒	日穴九
𭦔	日己夊
𭦖	巳夊日
𭦗	日皿勹
𭦘	申䒑廾
𭦛	日大示
𭦞	早⺧儿
𭦡	日斤欠
𭦦	日肀月
𭦧	日彐水
𭦪	西上日
𭦫	西女日
𭦰	匕日甫
𭦱	日口耳
𭦳	虫巳日
𭦶	日彳艮
𭦸	日白文
𭦺	日⺽人
𭦼	日忄艮
𭧁	申⺈臼
𭧅	日西木
𭧆	西文日
𭧇	日至夊
𭧋	日尚儿
𭧍	日口里
𭧏	日爫臼
𭧐	日夊見
𭧒	日車辶
𭧠	日广隶
𭧨	日尚夊
𭧭	日隹灬
𭧰	日生里
𭧴	日門木
𭨆	日金艮
𭨘	日乚丶
𭨙	曲一丂
𭨚	夕卜日
𭨦	月人丨
𭨨	二厶月
𭨩	月一廾
𭨭	月彐丿
𭨮	月口乂
𭨰	月䒑乂
𭨱	月弓刂
𭨲	月日了
𭨳	月亠𧘇
𭨴	月戈弓
𭨵	月戈工
𭨷	月斤口
𭨻	月人舌
𭨼	户月巴
𭨽	月日月
𭨿	户冊月
𭩀	古月月
𭩆	月工頁
𭩒	月雨辰
𭩚	木丶乂
𭩝	木ナ匕
𭩞	又又木
𭩟	木人乚
𭩠	卄乚木
𭩡	木幺丨
𭩢	匚コ木
𭩣	木工丂
𭩥	土几木
𭩦	木上卜
𭩧	木人干
𭩨	木夊力
𭩪	木夕卩
𭩫	木人工
𭩬	木亻也
𭩯	木女又
𭩱	二凵木
𭩴	木戊乙
𭩵	木丁日
𭩷	木日匕
𭩸	口口木
𭩹	木夕口
𭩾	木厶巴
𭩿	巳巳木
𭪀	一䒑米
𭪂	木氵亍
𭪃	土文木
𭪄	木龶夊
𭪆	木寸辶
𭪉	木𠂉正
𭪊	木夊彡
𭪏	木乃古
𭪑	亡木木
𭪒	木䒑龰
𭪓	木门心
𭪔	木子夊
𭪙	龷羊八
𭪝	木木犬
𭪞	木木灬
𭪟	木日文
𭪠	止夊朩
𭪦	木山石
𭪭	亡世木
𭪯	木丷西
𭪰	氵皮木
𭪲	木⺷几
𭪳	水木木
𭪵	木口矢
𭪸	木至阝
𭪾	木非一
𭫂	木夊虫
𭫃	木合廾
𭫅	犭虫木
𭫆	木犭虫
𭫖	木⺌貝
𭫙	木舌辶
𭫞	木臣犬
𭫟	木白母
𭫡	木耳𧘇
𭫤	木革力
𭫦	木𡗗糸
𭫮	米世木
𭫷	木癶虫
𭫺	木隹夊
𭬈	木艹隹
𭬉	木矢見
𭬋	石雨电
𭬏	糹甫木
𭬖	木口鳥
𭭅	一兀欠
𭭆	冖几欠
𭭇	木冂欠
𭭈	一业欠
𭭊	夕口欠
𭭍	山矢欠
𭭎	上矢欠
𭭏	匚米欠
𭭑	日皿欠
𭭕	龷隹欠
𭭛	止⺊又
𭭠	幺力止
𭭡	卄三止
𭭥	止⺷人
𭭽	一夕匕
𭭾	⺊夕匕
𭭿	⺊夕丂
𭮀	一夕巳
𭮁	一夕巳
𭮇	一夕申
𭮑	一夕糸
𭮔	一夕里
𭮨	厂㔾殳
𭮩	丆日殳
𭮪	士口殳
𭮮	丆目殳
𭮯	由丂殳
𭮲	日木殳
𭮵	白土殳
𭮸	立朩殳
𭯓	毛木一
𭯔	毛十廾
𭯙	毛丶艮
𭯜	龷日毛
𭯤	毛立里
𭯦	西貝毛
𭯷	氵丿厶
𭯸	氵冂二
𭯻	氵勹匕
𭯼	丶水土
𭯾	氵扌丁
𭯿	氵干刂
𭰀	氵工力
𭰁	氵冂巳
𭰃	氵亻也
𭰄	氵夊力
𭰆	氵几工
𭰇	尸水又
𭰈	氵厶𫶧
𭰉	氵木一
𭰊	氵囗コ
𭰎	氵⺌彐
𭰏	氵九朩
𭰑	氵气乂
𭰒	氵乂朩
𭰔	氵文凵
𭰕	氵女子
𭰖	氵尸工
𭰗	氵龶夊
𭰙	氵匚甲
𭰛	氵石力
𭰜	氵艹己
𭰝	氵丿臣
𭰡	氵夭廾
𭰢	氵广戶
𭰣	丷𡗗水
𭰤	氵阝方
𭰥	氵又鸟
𭰦	氵土戈
𭰧	氵夊月
𭰪	氵扌立
𭰮	氵耳又
𭰵	氵彳生
𭰶	氵夭壬
𭰷	氵合卩
𭰸	氵夊正
𭰹	氵冖米
𭰺	氵亦十
𭰻	氵亡皿
𭰽	氵水心
𭰿	氵皮也
𭱂	氵龷牛
𭱆	氵車刂
𭱈	氵而寸
𭱊	氵工页
𭱌	氵耳干
𭱑	氵目月
𭱔	氵合寸
𭱗	氵𱼀立
𭱘	氵⺈貝
𭱝	氵亦夊
𭱤	氵車亍
𭱦	氵古皿
𭱭	氵見寸
𭱺	氵艹車
𭱼	氵虍目
𭲃	氵合皿
𭲩	氵穴豕
𭲶	氵穴隹
𭲻	氵門立
𭲽	氵車甫
𭳇	氵高月
𭳠	氵甲鳥
𭳮	氵僉殳
𭴄	火几丶
𭴈	火二厶
𭴉	二厶灬
𭴊	火一尢
𭴍	火亻九
𭴏	火彐丿
𭴐	火尸乀
𭴒	火口丂
𭴓	火丿夫
𭴔	勹口灬
𭴕	夕卩灬
𭴖	力口灬
𭴘	肀一灬
𭴙	⺊口火
𭴛	火匕日
𭴜	火囗大
𭴝	夕㐄灬
𭴞	火亻壬
𭴠	宀巛火
𭴡	火䒑廾
𭴣	宀女火
𭴨	火古儿
𭴫	日巳灬
𭴮	爫子灬
𭴱	火氵殳
𭴳	火门日
𭴶	火マ田
𭴸	臣又灬
𭴹	火龷灬
𭴻	火耳又
𭴼	火龶月
𭴽	火日火
𭵀	月巴火
𭵁	火月巴
𭵂	火爫壬
𭵃	火月犬
𭵅	火户月
𭵋	火艹立
𭵌	艹古火
𭵍	火由辶
𭵎	火貝刂
𭵐	⺊貝灬
𭵓	火口耳
𭵔	火夭水
𭵜	亠里灬
𭵞	火火且
𭵢	耳火火
𭵤	火石皮
𭵩	火自犬
𭵪	火身寸
𭵭	火⺶工
𭵮	言己灬
𭵷	火酉灬
𭵼	忄隹灬
𭶏	火咼辶
𭶗	石隹灬
𭶙	火尚田
𭶟	高火火
𭶪	爫冂二
𭶬	爫王卜
𭶯	爫幺幺
𭶳	户冊爪
𭶴	爫目且
𭶶	西示爪
𭶺	八乂卜
𭶻	八乂口
𭶼	八乂車
𭶾	爿ナ乀
𭷄	爿龷八
𭷅	爿土寸
𭷋	片巳七
𭷌	片𠂉由
𭷐	牙口丂
𭷕	八乂牛
𭷖	牛勹厶
𭷘	丩又牛
𭷙	牛厶儿
𭷜	牛夕卜
𭷝	牛勹巳
𭷞	牛丿皿
𭷟	牛夊㐄
𭷡	牛宀牛
𭷢	厶牛古
𭷥	牙夊牛
𭷧	牛夊牛
𭷪	厶牛合
𭷭	牛耂日
𭷴	牛門文
𭷹	犭ナ乀
𭷺	犭上乚
𭷻	犭冖几
𭷾	犭⺀十
𭸂	犭夕凵
𭸃	犭⺀大
𭸅	犭口口
𭸇	犭宀子
𭸈	犭亠𧘇
𭸉	犭厶夫
𭸋	木口犬
𭸌	犭龶夊
𭸎	犭白匕
𭸒	犭子皿
𭸓	犭木木
𭸖	犭巛田
𭸗	犭世木
𭸙	犭艹戊
𭸚	犭日业
𭸨	犭其斤
𭸯	犭山鳥
𭸱	犭罒馬
𭸷	王十又
𭸸	王⺁又
𭸹	王亻二
