㑇	亻 负字头 彐
緅	幺 横三点 耳 又
緆	幺 横三点 日 勿
緇	幺 横三点 巛 田
緈	幺 横三点 土 南字心
緉	幺 横三点 1 巾 入 入
緊	臣 又 糸
緋	幺 横三点 非
緌	幺 横三点 禾 女
緍	幺 横三点 氏 日
緎	幺 横三点 戈 口 1
総	幺 横三点 八 厶 心
緐	卧人 母 3 糸
緑	幺 横三点 录字头 氺
緒	幺 横三点 者
緓	幺 横三点 艹 见二 大
緔	幺 横三点 尚
緕	幺 横三点 齐 二
緖	幺 横三点 者 4
緗	幺 横三点 木 目
緘	幺 横三点 戊 同字心
緙	幺 横三点 革
線	幺 横三点 白 水
緛	幺 横三点 而 大
緜	白 巾 3 糸
緝	幺 横三点 口 耳
緞	幺 横三点 段字旁 殳
緟	幺 横三点 千 里
締	幺 横三点 立无横 冖 巾
緡	幺 横三点 民 日
緢	幺 横三点 艹 田
緣	幺 横三点 彑 豕省
緤	幺 横三点 廿 5 木
緥	幺 横三点 亻 口 木
緦	幺 横三点 田 心
緧	幺 横三点 丷 酉
編	幺 横三点 户 扁字心
緩	幺 横三点 爫 1 左字框 又
緪	幺 横三点 忄 1 2 候右角 冬字底
緫	幺 横三点 勿 4 心
緬	幺 横三点 面
緭	幺 横三点 田 青字底
緮	幺 横三点 卧人 日 夂
緯	幺 横三点 候右角 2 口 㐄
緰	幺 横三点 亼 青字底 刂
緱	幺 横三点 亻 候右角 矢
緲	幺 横三点 目 少三 3
緳	广 丰 刀 糸
練	幺 横三点 束 丷
緵	幺 横三点 乂 凵 八 夂
緶	幺 横三点 亻 1 日 乂
緷	幺 横三点 冖 1 日 十
緸	幺 横三点 覀 土
緹	幺 横三点 日 定字底
緺	幺 横三点 见二 5 冂 口
緻	幺 横三点 至 攵
緼	幺 横三点 日 皿
緽	幺 横三点 卢字头 目 八
緾	幺 横三点 厂 里
緿	幺 横三点 厶 口 心
縀	幺 横三点 叚字旁无二 二 叚右角 又
縁	幺 横三点 录字头 豕省
縂	幺 横三点 丷 口 心
縃	幺 横三点 疋 青字底
縄	幺 横三点 日 日 5
縅	幺 横三点 戊 1 女
縆	幺 横三点 忄 1 日 1
縇	幺 横三点 宀 1 日 1
縈	火 火 冖 糸
縉	幺 横三点 1 业 日
縊	幺 横三点 益字头 皿
縋	幺 横三点 3 㠯 辶
縌	幺 横三点 䒑 䶹 辶
縍	幺 横三点 立无横 冖 方
縎	幺 横三点 骨
縏	舟 殳 糸
縐	幺 横三点 勹 䶹 勹 䶹
縑	幺 横三点 兼
縒	幺 横三点 差字头 工
縓	幺 横三点 厂 白 小
縔	幺 横三点 又 又 又 木
縕	幺 横三点 囗 人 皿
縖	幺 横三点 宀 丰 口
縗	幺 横三点 享字头 1 衣省
縘	幺 横三点 爫 幺 大
縙	幺 横三点 艹 耳
縚	幺 横三点 爫 臼
縛	幺 横三点 甫 寸
縜	幺 横三点 口 目 八
縝	幺 横三点 十 具字头 八
縞	幺 横三点 高
縟	幺 横三点 辰 寸
縠	壳字头 1 糸 殳
縡	幺 横三点 宀 辛
縢	月 龹 糸
縣	具字头 小 3 糸
縤	幺 横三点 龶 糸
縥	幺 横三点 春字头 禾
縦	幺 横三点 彳 䒑 龰
縧	幺 横三点 亻 2 夂 朩
縨	幺 横三点 日 光
縩	幺 横三点 祭字头 示
縪	幺 横三点 日 龷 十
縫	幺 横三点 夂 丰 辶
縬	幺 横三点 戊 卢字头 1 小
縭	幺 横三点 亠 乂 凵 禸
縮	幺 横三点 宀 亻 1 白
縯	幺 横三点 宀 1 由 八
縰	幺 横三点 彳 止 龰
縱	幺 横三点 彳 人 人 龰
縲	幺 横三点 田 糸
縳	幺 横三点 1 日 虫无口 寸
縴	幺 横三点 亠 幺 冖 牛
縵	幺 横三点 日 罒 又
縶	土 南字心 丸 糸
縷	幺 横三点 口 十 口 女
縸	幺 横三点 艹 日 大
縹	幺 横三点 覀 示
縺	幺 横三点 1 日 十 辶
縻	麻 糸
縼	幺 横三点 方 卧人 疋
總	幺 横三点 囱字框 夂 心
績	幺 横三点 龶 目 八
縿	幺 横三点 厶 厶 厶 全字头 彡
繀	幺 横三点 山 隹
繁	卧人 母 攵 糸
繂	幺 横三点 亠 幺 率字腰 十
繃	幺 横三点 山 月 月
繄	匚 矢 殳 糸
繅	幺 横三点 巛 日 木
繆	幺 横三点 羽 全字头 彡
繇	爫 缶 3 糸
繈	幺 横三点 弓 厶 虫
繉	幺 横三点 目 儿 率字腰
繊	幺 横三点 十 戈 业
繋	1 日 十 殳 糸
繌	幺 横三点 囱字框 乂 傻下角
繍	幺 横三点 肀 乔字底 米
繎	幺 横三点 然左角 犬 灬
繏	幺 横三点 巳 巳 共
繐	幺 横三点 1 日 虫无口 心
繑	幺 横三点 3 大 口 冂 口
繒	幺 横三点 丷 曾字头无丷 日
繓	幺 横三点 日 耳 又
織	幺 横三点 音 戈
繕	幺 横三点 羊 䒑 口
繖	幺 横三点 龷 青字底 攵
繗	幺 横三点 米 夕 㐄
繘	幺 横三点 予 3 冂 八 口
繙	幺 横三点 3 米 田
繚	幺 横三点 大变 丷 日 小
繛	龶 糸 卢字头 早
繜	幺 横三点 丷 酉 寸
繝	幺 横三点 见二 二 冂 二 月
繞	幺 横三点 土 土 土 1 儿
繟	幺 横三点 口 口 日 十
繠	心 心 心 糸
繡	幺 横三点 肀 乔字底 2 1 5 1 5 1 2
繢	幺 横三点 贵字头 目 八
繣	幺 横三点 聿三 土 田 1
繤	艹 目 大 糸
繥	幺 横三点 壴 口
繦	幺 横三点 弓 口 虫
繧	幺 横三点 雨头 云
繨	幺 横三点 土 羊 辶
繩	幺 横三点 临字旁 叚右角 1 5 三 2 彐
繪	幺 横三点 亼 曾字头无丷 日
繫	1 日 十 凵 殳 糸
繬	幺 横三点 土 人 人 囗 口
繭	艹 冂 2 幺 横三点 虫
繮	幺 横三点 1 田 1 田 1
繯	幺 横三点 罒 同字心 衣省
繰	幺 横三点 口 口 口 木
繱	幺 横三点 艹 勿 4 心
繲	幺 横三点 负字头 用 刀 牛
繳	幺 横三点 白 方 攵
繴	尸 口 辛 糸
繵	幺 横三点 亠 囗 口 日 1
繶	幺 横三点 音 心
繷	幺 横三点 曲 辰
繸	幺 横三点 䒑 豕省 辶
繹	幺 横三点 罒 土 南字心
繺	幺 横三点 负字头 彐 攵 灬
繻	幺 横三点 雨头 而
繼	幺 横三点 幺 幺 1 幺 幺 5
繽	幺 横三点 宀 1 步字底 目 八
繾	幺 横三点 贵字头 㠯 辶
繿	幺 横三点 臣 临右角 皿
纀	幺 横三点 亻 业 养字头
纁	幺 横三点 千 黑
纂	竹头 目 大 糸
纃	幺 横三点 亠 丷 2 刀 卬字旁 4 乔字底 二
纄	幺 横三点 艹 夂 丰 辶
纅	幺 横三点 白 幺 幺 木
纆	幺 横三点 黑 土
纇	米 糸 1 3 目 八
纈	幺 横三点 士 口 1 3 目 八
纉	幺 横三点 夫 夫 目 八
纊	幺 横三点 广 龷 由 八
纋	幺 横三点 1 3 见二 二 冖 心 夂
續	幺 横三点 士 罒 目 八
纍	田 田 田 糸
纎	幺 横三点 十 戈 非 1
纏	幺 横三点 广 里 八 土
纐	幺 横三点 六 乂 1 3 目 八
纑	幺 横三点 虍 田 皿
纒	幺 横三点 厂 里 灬 土
纓	幺 横三点 目 八 目 八 女
纔	幺 横三点 负字头 口 比字旁 匕 兔
纕	幺 横三点 亠 口 口 1 龷 衣省
纖	幺 横三点 人 人 戈 非 1
纗	幺 横三点 山 隹 冂 八 口
纘	幺 横三点 告字头 儿 告字头 儿 目 八
纙	幺 横三点 罒 幺 横三点 隹
纚	幺 横三点 1 丽下角 1 丽下角 鹿
纛	龶 母 具字头 小 3 糸
纜	幺 横三点 臣 临右角 罒 目 儿
纝	幺 横三点 田 田 田 糸
纞	幺 横三点 言 幺 横三点 幺 横三点 心
纟	纟
纠	纟 丩
纡	纟 1 于无横
红	纟 工
纣	纟 寸
纤	纟 千
纥	纟 卧人 6
约	纟 勹 4
级	纟 及
纨	纟 丸
纩	纟 广
纪	纟 己
纫	纟 刀 4
纬	纟 韦
纭	纟 云
纮	纟 左字框 厶
纯	纟 1 屯无横
纰	纟 比字旁 匕
纱	纟 少三 3
纲	纟 冂 乂
纳	纟 冂 人
纴	纟 壬
纵	纟 人 人
纶	纟 全字头 匕
纷	纟 八 刀
纸	纟 氏
纹	纟 文
纺	纟 方
纻	纟 宀 1
纼	纟 弓 2
纽	纟 5 里无日
纾	纟 予
线	纟 1 戈
绀	纟 甘
绁	纟 廿 5
绂	纟 左字框 又 4
练	纟 东二 拣字边无七
组	纟 且
绅	纟 日 2
细	纟 田
织	纟 口 八
终	纟 夂 冬字底
绉	纟 负字头 彐
绊	纟 丷 举字底
绋	纟 弗
绌	纟 屮 凵
绍	纟 刀 口
绎	纟 又 举字底
经	纟 经右角 工
绐	纟 厶 口
绑	纟 寿字头 阝
绒	纟 戈 左字框
结	纟 士 口
绔	纟 大 二 5
绕	纟 尧字头 1 儿
绖	纟 至
绗	纟 彳 亍
绘	纟 全字头 云
给	纟 亼 口
绚	纟 勹 日
绛	纟 夂 㐄
络	纟 各
绝	纟 负字头 巴
绞	纟 六 乂
统	纟 充字头 儿
绠	纟 1 日 乂
绡	纟 尚字头 青字底
绢	纟 口 青字底
绣	纟 禾 乃
绤	纟 谷
绥	纟 爫 女
绦	纟 夂 朩
继	纟 米 5
绨	纟 丷 弟省
绩	纟 龶 贝
绪	纟 者
绫	纟 土 傻下角
绬	纟 艹 见二 大
续	纟 卖字头 冬字底 大
绮	纟 大 可
绯	纟 非
绰	纟 卢字头 早
绱	纟 尚
绲	纟 日 比字旁 匕
绳	纟 口 日 5
维	维
绵	纟 白 巾
绶	纟 爫 冖 又
绷	纟 月 月
绸	纟 周字框 土 口
绹	纟 勹 缶
绺	纟 夂 卜 口
绻	纟 龹 㔾
综	纟 宀 示
绽	纟 宀 定字底
绾	纟 宀 㠯
绿	纟 录字头 氺
缀	纟 又 又 又 又
缁	纟 巛 田
缂	纟 革
缃	纟 木 目
缄	纟 戊 同字心
缅	纟 面
缆	纟 临字旁 临右角 见
缇	纟 日 定字底
缈	纟 目 少三 3
缉	纟 口 耳
缊	纟 日 皿
缋	纟 贵字头 贝
缌	纟 田 心
缍	纟 垂
缎	纟 段字旁 殳
缏	纟 亻 1 日 乂
缐	纟 白 水
缑	纟 亻 候右角 矢
缒	纟 3 㠯 辶
缓	纟 爫 1 左字框 又
缔	纟 立无横 冖 巾
缕	纟 米 女
编	纟 户 扁字心
缗	纟 民 日
缘	纟 彑 豕省
缙	纟 1 业 日
缚	纟 甫 寸
缛	纟 辰 寸
缜	纟 十 具字头 八
缝	纟 夂 丰 辶
缞	纟 享字头 1 衣省
缟	纟 高
缠	纟 广 里
缡	纟 亠 乂 凵 禸
缢	纟 益字头 皿
缣	纟 兼
缤	纟 宀 丘无横 1 八
缥	纟 覀 示
缦	纟 日 罒 又
缧	纟 田 糸
缨	纟 贝 贝 女
缩	纟 宀 亻 1 白
缪	纟 羽 全字头 彡
缫	纟 巛 日 木
缬	纟 士 口 页
缭	纟 大变 丷 日 小
缮	纟 羊 䒑 口
缯	纟 丷 曾字头无丷 日
缰	纟 1 田 1 田 1
缱	纟 贵字头 㠯 辶
缲	纟 口 口 口 木
缳	纟 罒 同字心 衣省
缴	纟 白 方 攵
缵	纟 告字头 儿 告字头 儿 贝
缶	缶
缷	缶 卩
缸	缶 工
缹	缶 灬
缺	缶 候右角 人
缻	缶 瓦
缼	缶 欠
缽	缶 木 1
缾	缶 䒑 廾
缿	缶 反字框 1 口
罀	缶 儿 率字腰
罁	缶 冂 䒑 山
罂	贝 贝 缶
罃	火 火 冖 缶
罄	士 眉字框 殳 缶
罅	缶 虍 3 丷 于无横
罆	缶 贯字头 目 八
罇	缶 丷 酉 寸
罈	缶 覀 早
罉	缶 尚头 手
罊	1 日 十 凵 殳 缶
罋	亠 乡 隹 缶
罌	目 八 目 八 缶
罍	田 田 田 缶
罎	缶 日 雨头 云
罏	缶 虍 田 皿
罐	缶 艹 口 口 隹
网	冂 乂 乂
罒	罒
罓	见二 乂
罔	冂 䒑 亡
罕	㓁 干
罖	罒 全字头 4
罗	罒 夕
罘	罒 不
罙	㓁 木
罚	罒 讠 刂
罛	罒 瓜
罜	罒 4 斜玉
罝	罒 且
罞	罒 予 3
罟	罒 古
罠	罒 民
罡	罒 1 止
罢	罒 土 厶
罣	罒 土 土
罤	罒 丷 弟省
罥	罒 口 青字底
罦	罒 爫 子
罧	罒 木 木
罨	罒 大 日 5
罩	罒 卢字头 早
罪	罒 非
罫	罒 土 土 卜
罬	罒 又 又 又 又
罭	罒 戈 口 1
置	罒 十 具字头
罯	罒 音
罰	罒 言 刂
罱	罒 十 冂 南字心
署	罒 者
罳	罒 田 心
罴	罒 土 厶 灬
罵	罒 1 2 举字底 5 灬
罶	罒 留字头 田
罷	罒 厶 青字底 匕 匕
罸	罒 言 寸
罹	罒 忄 隹
罺	罒 巛 日 木
罻	罒 尸 示 寸
罼	罒 日 龷 十
罽	罒 厂 火 火 刂
罾	罒 丷 曾字头无丷 日
罿	罒 立 里
羀	冂 乂 乂 1 临字旁 匚 叚右角 田
羁	罒 革 马
羂	罒 幺 横三点 口 青字底
羃	罒 艹 日 大 巾
羄	罒 幺 横三点 卢字头 早
羅	罒 幺 横三点 隹
羆	罒 厶 青字底 匕 匕 灬
羇	罒 革 大 可
羈	罒 革 1 2 举字底 5 灬
羉	罒 言 幺 横三点 糸
羊	羊
羋	2 1 2 卢字头 举字底
羌	差字头 5
羍	大 羊
美	美字头 大
羏	差字头 彡
羐	2 1 卢字头 土 久二 4
羑	美字头 久二 4
羒	差字头 八 刀
羓	差字头 巴
羔	美字头 灬
羕	美字头 4 永无点
羖	差字头 殳
羗	差字头 5 厶
羘	月 羊
羙	美字头 火
羚	差字头 今 4
羛	美字头 弗
羜	差字头 宀 丁
羝	差字头 氏 4
羞	差字头 5 里无日
羟	差字头 经右角 工
羠	差字头 大框 弓
羡	美字头 冫 欠
羢	差字头 戈 左字框
羣	聿三 3 口 羊
群	聿三 3 口 羊
羥	差字头 1 巛 工
羦	差字头 宀 二 儿
羧	差字头 厶 傻下角
羨	美字头 氵 欠
義	美字头 3 扌 戈
羪	差字头 4 艮
羫	差字头 穴 工
羬	差字头 戊 同字心
羭	差字头 亼 青字底 刂
羮	美字头 灬 1 夫
羯	差字头 日 勹 亾
羰	差字头 山 左字框 火
羱	差字头 厂 白 小
羲	美字头 禾 戈 1 5
羳	差字头 3 米 田
羴	羊 差字头 羊
羵	差字头 十 贲字腰 目 八
羶	差字头 亠 囗 口 日 1
羷	差字头 亼 口 口 人 人
羸	赢字框 羊
羹	美字头 灬 美字头 大
羺	差字头 雨头 而
羻	差字头 广 叚右角 临字旁 5 心 夂
羼	尸 羊 差字头 羊
羽	羽
羾	羽 工
羿	羽 廾
翀	羽 口 2
翁	八 厶 羽
翂	羽 八 刀
翃	左字框 厶 羽
翄	羽 支
翅	支 羽
翆	羽 九 十
翇	羽 左字框 又 4
翈	甲 羽
翉	木 1 羽
翊	立 羽
翋	羽 立
翌	羽 立
翍	羽 皮
翎	今 4 羽
翏	羽 全字头 彡
翐	羽 3 夫
翑	羽 句
習	羽 白
翓	士 口 羽
翔	差字头 羽
翕	亼 口 羽
翖	亼 口 羽
翗	夕 夕 羽
翘	尧字头 1 儿 羽
翙	山 夕 羽
翚	羽 冖 车
翛	亻 2 夂 羽
翜	羽 大 人 人
翝	宀 左字框 厶 羽
翞	羽 享字头 小
翟	羽 隹
翠	羽 亠 人 人 十
翡	非 羽
翢	周字框 土 口 羽
翣	羽 立 女
翤	口 扁字心 羽
翥	者 羽
翦	䒑 青字底 刂 羽
翧	宀 1 日 1 羽
翨	羽 日 定字底
翩	户 扁字心 羽
翪	羽 乂 凵 八 夂
翫	羽 白 二 儿
翬	羽 冖 1 日 十
翭	羽 亻 候右角 矢
翮	鬲 羽
翯	羽 高
翰	十 早 全字头 羽
翱	白 大 十 羽
翲	覀 示 羽
翳	匚 矢 殳 羽
翴	羽 1 日 十 辶
翵	羽 3 见二 三 5 灬
翶	白 率字腰 十 羽
翷	米 夕 㐄 羽
翸	十 贲字腰 目 八 羽
翹	土 土 土 1 儿 羽
翺	自 率字腰 十 羽
翻	3 米 田 羽
翼	羽 田 共
翽	止 戊 1 步字底 羽
翾	罒 同字心 衣省 羽
翿	士 5 工 1 口 寸 羽
耀	光 羽 隹
老	老
耂	耂
考	耂 1 5
耄	老 毛
者	者
耆	老 日
耇	耂 句
耈	老 句
耉	耂 1 5 口
耊	耂 至
耋	老 至
而	而
耍	而 女
耎	而 大
耏	而 彡
耐	而 寸
耑	山 而
耒	耒
耓	耒 丁
耔	耒 子
耕	耒 井
耖	耒 少三 3
耗	耒 毛
耘	耒 云
耙	耒 巴
耚	耒 皮
耛	耒 厶 口
耜	耒 㠯
耝	耒 且
耞	耒 力 口
耟	耒 匚 叚右角
耠	耒 亼 口
耡	耒 且 力
耢	耒 艹 冖 力
耣	耒 亼 扁字心
耤	耒 龷 日
耥	耒 尚
耦	耒 日 禺下
耧	耒 米 女
耨	耒 辰 寸
耩	耒 1 龷 冂 里无日
耪	耒 立无横 冖 方
耫	耒 龶 目 八
耬	耒 口 十 口 女
耭	耒 幺 幺 戈 人
耮	耒 火 火 冖 力
耯	耒 艹 隹 又
耰	耒 1 3 见二 二 冖 心 夂
耱	耒 麻 石
耲	耒 亠 罒 氺 衣省
耳	耳
耴	耳 5
耵	耳 丁
耶	耳 阝
耷	大 耳
耸	人 人 耳
耹	耳 今
耺	耳 云
耻	耳 止
耼	耳 冂 二
耽	耳 冖 儿
耾	耳 左字框 厶
耿	耳 火
聀	耳 戈
聁	耳 八 刀
聂	耳 又 又
聃	耳 冂 里无日
聄	耳 全字头 彡
聅	耳 矢
聆	耳 今 4
聇	耳 1 止
聈	耳 幺 力
聉	耳 屮 凵
聊	耳 卯
聋	龙 耳
职	耳 口 八
聍	耳 宀 丁
聎	耳 儿 率字腰
聏	耳 而
聐	耳 士 口
聑	耳 耳
聒	耳 舌
聓	工 几 4 耳
联	耳 䒑 大
聕	耳 告字头 口
聖	耳 口 王
聗	耳 大 人 人
聘	耳 由 1 5
聙	耳 龶 青字底
聚	耳 又 乑
聛	耳 白 3 十
聜	耳 穴 工
聝	耳 戈 口 1
聞	见二 二 冂 二 耳
聟	矢 口 耳
聠	耳 䒑 廾
聡	耳 八 厶 心
聢	耳 宀 定字底
聣	耳 臼 儿
聤	耳 享字头 冖 丁
聥	耳 3 口 禺下
聦	耳 勿 4 心
聧	耳 癶 1 大
聨	耳 幺 幺 廾
聩	耳 贵字头 贝
聪	耳 丷 口 心
聫	耳 幺 幺 大
聬	耳 八 厶 羽
聭	耳 鬼
聮	耳 幺 幺 灬
聯	耳 幺 幺 5 3 2 2 1
聰	耳 囱字框 夂 心
聱	龶 万无横 攵 耳
聲	士 眉字框 殳 耳
聳	彳 人 人 龰 耳
聴	耳 十 罒 心
聵	耳 贵字头 目 八
聶	耳 耳 耳
職	耳 音 戈
聸	耳 负字头 厂 八 言
聹	耳 宀 心 皿 丁
聺	耳 宀 祭字头 示
聻	氵 1 日 十 斤 耳
聼	5 耳 十 罒 1 心
聽	耳 王 十 罒 1 心
聾	立 青字底 1 5 1 5 三 耳
聿	聿
肀	肀
肁	户 聿
肂	歹 聿
肃	肀 乔字底 八
肄	匕 矢 聿
肅	肀 乔字底 2 1 5 1 5 1 2
肆	镸 聿
肇	户 攵 聿
肈	户 戈 聿
肉	冂 人 人
肊	月 6
肋	月 力
肌	月 几
肍	月 九
肎	冖 青字底
肏	入 冂 人 人
肐	月 卧人 6
肑	月 勹 4
肒	月 丸
肓	亡 青字底
肔	月 也
肕	月 刀 4
肖	尚字头 青字底
肗	月 女
肘	月 寸
肙	口 青字底
肚	月 土
肛	月 工
肜	月 彡
肝	月 干
肞	月 又 4
肟	月 二 5
肠	月 5 横两撇
股	月 殳
肢	月 支
肣	月 今
肤	月 夫
肥	月 巴
肦	周字框 冫 八 刀
肧	月 不
肨	月 丰
肩	户 青字底
肪	月 方
肫	月 1 屯无横
肬	月 尤
肭	月 冂 人
肮	月 亠 几
肯	止 青字底
肰	月 犬
肱	月 左字框 厶
育	充字头 青字底
肳	月 勿
肴	乂 左字框 青字底
肵	月 斤
肶	月 比字旁 匕
肷	月 欠
肸	月 八 十
肹	月 八 1 5
肺	月 1 巾
肻	卢字头 冖 青字底
肼	月 井
肽	月 大 4
肾	临字旁 又 青字底
肿	月 口 2
胀	月 长
胁	月 力 横两点
胂	月 日 2
胃	田 青字底
胄	由 青字底
胅	月 3 夫
胆	月 日 1
胇	月 弗
胈	月 左字框 又 4
胉	月 白
胊	周字框 冫 句
胋	月 卢字头 口
背	北字旁 匕 青字底
胍	月 瓜
胎	月 厶 口
胏	月 3 5 2 3
胐	周字框 冫 屮 凵
胑	月 口 八
胒	月 尸 匕
胓	月 干 丷
胔	止 匕 冂 人 人
胕	月 亻 寸
胖	月 丷 举字底
胗	月 全字头 彡
胘	月 亠 幺
胙	月 乍
胚	月 不 1
胛	月 甲
胜	月 生
胝	月 氏 4
胞	月 勹 巳
胟	月 母
胠	月 土 厶
胡	古 月
胢	月 可
胣	月 卧人 也
胤	3 幺 青字底 5
胥	疋 青字底
胦	月 见二 大
胧	月 龙
胨	月 东二 小
胩	月 卢字头 1 卜
胪	月 卢字头 尸
胫	月 经右角 工
胬	女 又 冂 人 人
胭	月 囗 大
胮	月 夂 㐄
胯	月 大 二 5
胰	月 大框 弓
胱	月 光
胲	月 亥
胳	月 各
胴	月 冂 同字心
胵	月 至
胶	月 六 乂
胷	勹 乂 凵 青字底
胸	月 勹 乂 凵
胹	月 而
胺	月 宀 女
胻	月 彳 亍
胼	月 䒑 廾
能	厶 青字底 匕 匕
胾	十 戈 冂 人 人
胿	月 土 土
脀	了 水字框 1 青字底
脁	周字框 冫 儿 率字腰
脂	月 匕 日
脃	月 负字头 巴
脄	月 左字框 火
脅	力 力 力 青字底
脆	月 负字头 厂 㔾
脇	月 力 力 力
脈	月 反字框 旅下角
脉	月 4 永无点
脊	率字腰 人 青字底
脋	刀 刀 刀 青字底
脌	月 卧人 年字底
脍	月 全字头 云
脎	月 乂 朩
脏	月 广 土
脐	月 齐
脑	月 亠 乂 凵
脒	月 米
脓	月 冖 衣省
脔	亠 变字头无亠 冂 人 人
脕	月 负字头 口 儿
脖	月 十 冖 子
脗	月 勿 口
脘	月 宀 二 儿
脙	月 于无横 率字腰 4
脚	月 土 厶 卩
脛	月 1 巛 工
脜	月 1 自
脝	月 享字头 了
脞	月 人 人 土
脟	月 爫 寸
脠	月 3 延字心无撇 廴
脡	月 壬 廴
脢	月 卧人 母
脣	辰 青字底
脤	月 辰
脥	月 大 人 人
脦	月 弋 心
脧	周字框 冫 厶 傻下角
脨	月 束
脩	亻 2 夂 青字底
脪	月 乂 左字框 巾
脫	月 八 口 儿
脬	月 爫 子
脭	月 口 王
脮	月 爫 女
脯	月 甫
脰	月 同字心 䒑
脱	月 丷 口 儿
脲	月 尸 水
脳	月 学字头 乂 凵
脴	月 不 口
脵	月 口 1 大
脶	月 口 冂 人
脷	月 禾 刂
脸	月 亼 应字心
脹	月 1 2 三 畏字底
脺	月 亠 人 人 十
脻	月 1 聿三 龰
脼	月 1 巾 入 入
脽	月 隹
脾	月 白 3 十
脿	月 龶 衣省
腀	月 亼 扁字心
腁	月 3 1 左字框 3 干
腂	月 日 木
腃	月 龹 㔾
腄	月 垂
腅	月 火 火
腆	月 见二 龷 八
腇	月 禾 女
腈	月 龶 青字底
腉	月 臼 儿
腊	月 龷 日
腋	月 亠 亻 夂 4
腌	月 大 日 5
腍	月 今 心
腎	臣 又 青字底
腏	月 又 又 又 又
腐	广 亻 寸 冂 人 人
腑	月 广 亻 寸
腒	月 尸 古
腓	月 非
腔	月 穴 工
腕	月 宀 夕 㔾
腖	月 木框 日
腗	月 由 丌
腘	月 囗 斜玉 4
腙	月 宀 示
腚	月 宀 定字底
腛	月 尸 至
腜	月 甘 木
腝	月 而 大
腞	月 彑 豕省
腟	月 宀 至
腠	月 春字头 1 大
腡	月 见二 5 冂 口
腢	月 日 禺下
腣	月 立无横 冖 巾
腤	月 音
腥	月 日 生
腦	月 巛 囱字框 乂
腧	月 亼 青字底 刂
腨	月 山 而
腩	月 十 冂 南字心
腪	月 冖 1 日 十
腫	月 千 里
腬	月 予 3 木
腭	月 口 口 二 5
腮	月 田 心
腯	月 反字框 十 目
腰	月 覀 女
腱	月 聿 廴
腲	月 田 1 畏字底
腳	月 谷 卩
腴	月 臼 人
腵	月 叚字旁无二 二 叚右角 又
腶	月 段字旁 殳
腷	月 同字心 田
腸	月 日 1 勿
腹	月 卧人 日 夂
腺	月 白 水
腻	月 弋 二 贝
腼	月 面
腽	月 日 皿
腾	月 龹 马
腿	月 艮 辶
膀	月 立无横 冖 方
膁	月 兼
膂	方 卧人 旅下角 青字底
膃	月 囗 人 皿
膄	月 臼 2 又
膅	月 广 肀 口
膆	月 龶 糸
膇	月 3 㠯 辶
膈	月 鬲
膉	月 益字头 皿
膊	月 甫 寸
膋	火 火 冖 青字底
膌	月 率字腰 人 青字底
膍	月 囱字框 乂 比字旁 匕
膎	月 爫 幺 大
膏	高头 青字底
膐	方 卧人 旅下角 冂 人 人
膑	月 宀 丘无横 1 八
膒	月 匚 口 口 口
膓	月 卧人 日 1 勿
膔	月 鹿
膕	月 囗 戈 口 1
膖	月 夂 丰 辶
膗	月 山 隹
膘	月 覀 示
膙	月 弓 口 虫
膚	虍 田 青字底
膛	月 尚头 土
膜	月 艹 日 大
膝	月 木 全字头 氺
膞	月 1 日 虫无口 寸
膟	月 亠 幺 率字腰 十
膠	月 羽 全字头 彡
膡	月 龹 目
膢	月 口 十 口 女
膣	月 穴 至
膤	月 雨头 彐
膥	未 戊 5 冂 人 人
膦	月 米 夕 㐄
膧	周字框 冫 立 里
膨	月 壴 彡
膩	月 弋 二 目 八
膪	月 立无横 冖 巾 口
膫	月 大变 丷 日 小
膬	月 毛 毛 毛
膭	月 贵字头 目 八
膮	月 土 土 土 1 儿
膯	月 癶 同字心 䒑
膰	月 3 米 田
膱	月 音 戈
膲	月 隹 灬
膳	月 羊 䒑 口
膴	月 舞字头 灬
膵	月 艹 亠 人 人 十
膶	月 见二 二 冂 二 王
膷	月 乡 4 即字旁 阝
膸	月 左字框 工 青字底 辶
膹	月 十 贲字腰 目 八
膺	广 亻 隹 青字底
膻	月 亠 囗 口 日 1
膼	月 见二 5 冂 口 辶
膽	月 负字头 厂 八 言
膾	月 亼 曾字头无丷 日
膿	月 曲 辰
臀	尸 共 殳 青字底
臁	月 广 兼
臂	尸 口 辛 青字底
臃	月 亠 乡 隹
臄	月 虍 豕
臅	月 罒 勹 虫
臆	月 音 心
臇	月 隹 凹无横
臈	月 艹 日 勹 亾
臉	月 亼 口 口 人 人
臊	月 口 口 口 木
臋	尸 共 殳 冂 人 人
